;;;;;;;;;;;;;;x,,,
PROV296;Caerodor;;;;;;;;;;x;;;;
PROV285;Caer;;;;;;;;;;x;;;;
PROV299;Cernyw;;;;;;;;;;x;;;;
PROV3265;Duisburg;;;;;;;;;;;;;;x
PROV3269;Trefdraeth;;;;;;;;;;;;;;x
PROV3268;Dyfnaint;;;;;;;;;;;;;;x
PROV291;Caergrawnt;;;;;;;;;;;;;;x
PROV293;Gaerlleon;;;;;;;;;;;;;;x
PROV301;Dofr;;;;;;;;;;;;;;x
PROV300;Llundain;;;;;;;;;;;;;;x
PROV292;Ychen;;;;;;;;;;;;;;x
PROV298;Caerfaddon;;;;;;;;;;;;;;x
PROV297;Caersallog;;;;;;;;;;;;;;x
PROV278;Manceinion;;;;;;;;;;;;;;x
PROV294;Rhydychen;;;;;;;;;;;;;;x
PROV277;Lerpwl;;;;;;;;;;;;;;x
PROV279;Drefgaerog;;;;;;;;;;;;;;x
PROV303;Ynys Wyth;;;;;;;;;;;;;;x
PROV302;Trallwng;;;;;;;;;;;;;;x
PROV289;Caerlyr;;;;;;;;;;;;;;x
PROV288;Penarlâg;;;;;;;;;;;;;;x
PROV286;Llwydlo;;;;;;;;;;;;;;x
PROV295;Tafwys;;;;;;;;;;;;;;x
PROV290;Lindon;;;;;;;;;;;;;;x
PROV281;Ebrauc;;;;;;;;;;;;;;x
PROV280;Brynaich;;;;;;;;;;;;;;x
PROV272;Ynys Metcaut;;;;;;;;;;;;;;x
PROV271;Alclud;;;;;;;;;;;;;;x
PROV269;Din Eidyn;;;;;;;;;;;;;;x
PROV283;Amwythig;;;;;;;;;;;;;;x
PROV282;Hep;;;;;;;;;;;;;;x
PROV284;Bryncreigiog;;;;;;;;;;;;;;x
PROV287;Twmpyn;;;;;;;;;;;;;;x
PROV275;Powys;;;;;;;;;;;;;;x
PROV276;Gwynedd;;;;;;;;;;;;;;x
PROV274;Dyfed;;;;;;;;;;;;;;x
PROV273;Caerdydd;;;;;;;;;;;;;;x
PROV270;Yr Wyddfa;;;;;;;;;;;;;;x
PROV267;Eryri;;;;;;;;;;;;;;x
PROV268;Penntir;;;;;;;;;;;;;;x
PROV266;Ardewr;;;;;;;;;;;;;;x
PROV304;Ynys Môn;;;;;;;;;;;;;;x
PROV1724;Manaw a Yell;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_266;Albidosia;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_271;Ystrad Clud;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_273;Cymru;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_277;Rheged;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_280;Yr Ogledd;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_284;Elmet;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_291;Gogledd Lloegr;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_296;Dumnonia;;;;;;;;;;;;;;;;;;;;;;;;x
ENG_300;De Lloegr;;;;;;;;;;;;;;;;;;;;;;;;x
TUR_922;Philadelphia;;;;;;;;;;x;;;;
TUR_873;Cappadocia;;;;;;;;;;x;;;;
TUR_894;Tarsos;;;;;;;;;;x;;;;
TUR_876;Phaphlagon;;;;;;;;;;x;;;;
TUR_880;Seljuqia;;;;;;;;;;x;;;;
